"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00072..Synthesis.and.degradation.of.ketone.bodies","map00072..Synthesis.and.degradation.of.ketone.bodies","1219"," 294"," 914"," 844","1252"," 802","1164"," 952","2936","2532","1970","2138","1228","1513","1224"
"map00073..Cutin..suberine.and.wax.biosynthesis","map00073..Cutin..suberine.and.wax.biosynthesis","2","0","2","0","3","2","2","2","8","3","4","1","3","2","2"
"map00100..Steroid.biosynthesis","map00100..Steroid.biosynthesis"," 636"," 117"," 328"," 372"," 523"," 286"," 364"," 359","1220"," 953"," 664"," 729"," 510"," 554"," 459"
"map00120..Primary.bile.acid.biosynthesis","map00120..Primary.bile.acid.biosynthesis","245"," 56","174","202","295","168","269","173","644","568","400","457","292","418","278"
"map00121..Secondary.bile.acid.biosynthesis","map00121..Secondary.bile.acid.biosynthesis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"map00130..Ubiquinone.and.other.terpenoid.quinone.biosynthesis","map00130..Ubiquinone.and.other.terpenoid.quinone.biosynthesis","154"," 28","235"," 99","160","101","102","116","368","333","289","240","137","186","134"
"map00140..Steroid.hormone.biosynthesis","map00140..Steroid.hormone.biosynthesis","119"," 42","115"," 90","199","195","225","163","473","452","391","347"," 93","265","190"
"map00190..Oxidative.phosphorylation","map00190..Oxidative.phosphorylation"," 88260"," 31202"," 84369"," 75099","124476"," 80351","109587"," 99489","202123","169142","123621","132925"," 82699","106876"," 78991"
"map00195..Photosynthesis","map00195..Photosynthesis","3052"," 650","1713","2081","2843","1641","2624","2431","7134","6115","4161","5029","3369","3571","2749"
"map00196..Photosynthesis...antenna.proteins","map00196..Photosynthesis...antenna.proteins","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
