"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00643..Styrene.degradation"," 524"," 125"," 603"," 362"," 670"," 446"," 617"," 500","1864","1642","1219","1337"," 537","1076"," 790"
"map00650..Butanoate.metabolism","2562"," 711","2270","1958","2818","1756","2659","2206","6502","5687","4588","4729","2754","3534","2781"
"map00660..C5.Branched.dibasic.acid.metabolism","341"," 86","208","242","340","214","336","290","828","710","507","616","367","425","302"
"map00670..One.carbon.pool.by.folate"," 968"," 230"," 657"," 687"," 910"," 623"," 858"," 712","2541","2079","1627","1706","1241","1295"," 987"
"map00680..Methane.metabolism"," 4841"," 1299"," 3726"," 3662"," 4531"," 2571"," 3861"," 3370","10795"," 9334"," 6970"," 7273"," 5829"," 5537"," 4158"
"map00710..Carbon.fixation.in.photosynthetic.organisms"," 6702"," 1656"," 5167"," 4882"," 5813"," 3354"," 4798"," 4748","14093","11154"," 8520"," 8586"," 8196"," 6463"," 5041"
"map00720..Carbon.fixation.pathways.in.prokaryotes"," 6139"," 1623"," 4375"," 4318"," 6280"," 4024"," 6005"," 5179","15641","13569","10383","11082"," 6743"," 8082"," 6278"
"map00730..Thiamine.metabolism","353"," 90","227","275","340","184","309","257","862","728","552","582","389","479","346"
"map00740..Riboflavin.metabolism"," 65"," 14"," 35"," 49"," 87"," 39"," 53"," 53","160","187"," 80","112"," 70"," 99"," 69"
"map00750..Vitamin.B6.metabolism","214"," 72","234","230","292","125","222","204","490","420","358","343","252","271","224"
"map00760..Nicotinate.and.nicotinamide.metabolism","1275"," 257"," 719"," 927","1200"," 579"," 908"," 646","2608","2207","1614","1881","1298","1399","1049"
"map00770..Pantothenate.and.CoA.biosynthesis"," 4505"," 1256"," 4543"," 3294"," 6646"," 4415"," 6625"," 5128","18364","16784","11087","13640"," 4859","10768"," 7699"
"map00780..Biotin.metabolism","302"," 73","277","233","386","252","395","300","940","957","691","886","334","765","490"
"map00785..Lipoic.acid.metabolism"," 83"," 20"," 56"," 58"," 88"," 57"," 87"," 66","190","195","122","131"," 65","127"," 87"
"map00790..Folate.biosynthesis"," 469"," 138"," 387"," 371"," 566"," 232"," 361"," 293","1124"," 857"," 722"," 688"," 509"," 557"," 396"
"map00791..Atrazine.degradation","20"," 3","21"," 4","18"," 4"," 5"," 6","27","22","20","17","11","16","15"
"map00830..Retinol.metabolism"," 489"," 168"," 605"," 365"," 559"," 359"," 561"," 407","1486","1312","1130","1119"," 660"," 892"," 660"
"map00860..Porphyrin.and.chlorophyll.metabolism","2167"," 488","1614","1449","1948","1503","1939","1494","5033","4422","3791","4381","1782","2598","1813"
"map00900..Terpenoid.backbone.biosynthesis","1336"," 278"," 898"," 980","1258"," 745","1024"," 887","2955","2456","1824","1979","1194","1355","1089"
"map00901..Indole.alkaloid.biosynthesis","78","13","25","62","76","14","26","25","65","67","41","37","40","23","21"
"map00903..Limonene.and.pinene.degradation"," 4671"," 1371"," 4905"," 3471"," 6857"," 4541"," 6818"," 5395","18548","16917","11296","13671"," 5055","10842"," 7777"
"map00906..Carotenoid.biosynthesis","1","1","1","3","2","3","4","2","2","3","5","7","4","6","2"
"map00908..Zeatin.biosynthesis"," 2"," 0"," 1"," 2"," 3"," 2"," 1"," 3"," 7"," 8"," 4"," 4","10"," 4"," 3"
"map00909..Sesquiterpenoid.and.triterpenoid.biosynthesis","119"," 25"," 56"," 52"," 82"," 61"," 59"," 68","233","178","113","119"," 96"," 83"," 55"
"map00910..Nitrogen.metabolism","1512"," 318","1093","1103","1983"," 925","1452","1081","4147","3471","2490","3203","1397","2156","1663"
"map00920..Sulfur.metabolism","4327","1050","3718","3298","5396","3104","3830","3119","9906","9038","6630","7135","4285","6005","4246"
"map00930..Caprolactam.degradation","1058"," 348","1141"," 864","1223"," 733","1131"," 938","2690","2394","1938","1839","1188","1546","1119"
"map00940..Phenylpropanoid.biosynthesis"," 5"," 0"," 3"," 1"," 6"," 4"," 1"," 4","15","13"," 6"," 8"," 4"," 9"," 5"
"map00941..Flavonoid.biosynthesis","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"map00944..Flavone.and.flavonol.biosynthesis"," 90"," 25"," 70"," 54"," 73"," 50"," 92"," 43","206","164","134","135","130","105"," 77"
"map00945..Stilbenoid..diarylheptanoid.and.gingerol.biosynthesis","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0"
"map00950..Isoquinoline.alkaloid.biosynthesis","584","129","348","456","611","196","306","353","924","785","600","656","555","470","355"
"map00960..Tropane..piperidine.and.pyridine.alkaloid.biosynthesis","339"," 70","268","260","285","161","250","307","778","657","487","557","436","402","304"
"map00965..Betalain.biosynthesis","105"," 20"," 48"," 88","106"," 38"," 56"," 40","134","151","110"," 98"," 73"," 62"," 57"
"map00966..Glucosinolate.biosynthesis","16"," 7","13","21","21"," 8","19","14","70","48","32","40","21","30","21"
"map00980..Metabolism.of.xenobiotics.by.cytochrome.P450","1246"," 406","1268"," 836","1534","1129","1650","1222","4506","3923","2904","3343","1344","2488","1910"
"map00981..Insect.hormone.biosynthesis"," 4255"," 1189"," 4360"," 3102"," 6355"," 4196"," 6283"," 4916","17371","15802","10382","12807"," 4537","10153"," 7273"
"map00982..Drug.metabolism...cytochrome.P450","1369"," 425","1268"," 948","1711","1106","1640","1205","4451","3885","2856","3308","1375","2460","1887"
